Row,Activity,Sex,Age,Type,Species,Fatal
1228,Surfing,M,40,Unprovoked,Other,N
1757,Swimming,M,17,Unprovoked,Other,Y
1781,Swimming,M,18,Unprovoked,white shark,Y
242,Surfing,M,30,Unprovoked,unknown,N
1441,Surfing,M,13,Unprovoked,unknown,N
1571,Fishing,M,19,Provoked,Other,N
482,Surfing,M,31,Unprovoked,white shark,N
1105,Surfing,M,24,Unprovoked,unknown,N
157,Other,M,12,Unprovoked,unknown,N
550,Snorkeling,M,14,Unprovoked,nurse shark,N
272,boarding,F,10,Unprovoked,unknown,N
1196,Surfing,M,30,Unprovoked,unknown,N
1648,Spearfishing,M,26,Unprovoked,unknown,Y
1121,Surfing,F,36,Unprovoked,tiger shark,N
298,Snorkeling,M,61,Unprovoked,tiger shark,N
935,Surfing,M,25,Unprovoked,Other,N
436,Surfing,M,29,Unprovoked,unknown,N
1575,Swimming,M,10,Unprovoked,bronze whaler,Y
810,Standing,M,43,Unprovoked,bull shark,N
1681,Standing,F,14,Unprovoked,unknown,N
1409,Other,M,17,Unprovoked,blacktip shark,N
805,Other,M,16,Unprovoked,unknown,N
414,Swimming,F,13,Unprovoked,tiger shark,N
266,Fishing,M,17,Unprovoked,bull shark,N
830,Wading,M,20,Unprovoked,unknown,N
1275,Spearfishing,M,29,Unprovoked,white shark,N
259,Surfing,F,13,Unprovoked,unknown,N
1424,Scuba diving,M,30,Unprovoked,white shark,N
1628,Fishing,M,18,Provoked,unknown,N
438,Snorkeling,F,9,Unprovoked,Other,N
1180,Surfing,M,17,Unprovoked,bronze whaler,N
316,Surfing,M,48,Unprovoked,white shark,N
1512,Swimming,M,19,Unprovoked,raggedoth shark,N
1428,Scuba diving,M,32,Unprovoked,unknown,N
91,Other,M,42,Unprovoked,unknown,N
1290,Surfing,M,20,Unprovoked,unknown,N
1717,Swimming,M,22,Unprovoked,Other,N
408,Surfing,M,31,Unprovoked,white shark,Y
32,Scuba diving,F,49,Unprovoked,tiger shark,Y
1795,Swimming,M,20,Unprovoked,Other,Y
1438,Swimming,M,12,Unprovoked,Other,N
665,Swimming,M,20,Unprovoked,unknown,N
1689,Swimming,M,22,Unprovoked,unknown,N
340,Surfing,M,61,Unprovoked,bull shark,N
1030,Scuba diving,M,25,Unprovoked,bull shark,Y
7,Scuba diving,M,30,Unprovoked,tiger shark,N
1052,Other,M,69,Unprovoked,unknown,Y
620,Swimming,M,35,Unprovoked,tiger shark,N
