Row,Activity,Sex,Age,Type,Species,Fatal
335,boarding,M,20,Unprovoked,white shark,Y
336,Other,M,27,Boating,white shark,N
337,Surfing,M,28,Unprovoked,tiger shark,N
338,Scuba diving,M,33,Unprovoked,white shark,Y
339,Surfing,M,20,Unprovoked,bull shark,N
340,Surfing,M,61,Unprovoked,bull shark,N
341,Surfing,F,15,Unprovoked,unknown,N
342,Surfing,M,17,Unprovoked,unknown,N
343,Other,F,34,Provoked,Other,N
344,Surfing,M,19,Unprovoked,unknown,N
345,Snorkeling,M,26,Unprovoked,tiger shark,N
346,Fishing,M,24,Provoked,Other,N
347,Surfing,M,44,Unprovoked,white shark,N
348,Swimming,M,25,Unprovoked,unknown,Y
349,Surfing,M,53,Unprovoked,white shark,N
350,Surfing,M,28,Unprovoked,unknown,N
351,Spearfishing,M,34,Unprovoked,Other,N
352,Surfing,M,51,Unprovoked,white shark,N
353,Surfing,M,14,Unprovoked,wobbegong shark,N
354,Swimming,M,10,Unprovoked,wobbegong shark,N
355,Surfing,M,27,Unprovoked,white shark,N
356,Surfing,M,26,Unprovoked,unknown,N
357,Other,M,32,Unprovoked,white shark,Y
358,Surfing,M,41,Unprovoked,white shark,N
359,Other,M,50,Unprovoked,unknown,N
360,Other,M,51,Boating,unknown,N
361,Swimming,M,43,Unprovoked,white shark,N
362,Spearfishing,M,21,Unprovoked,bull shark,N
363,Surfing,M,25,Unprovoked,unknown,N
364,Surfing,M,30,Unprovoked,tiger shark,N
365,boarding,M,21,Unprovoked,white shark,Y
366,Surfing,M,19,Unprovoked,blacktip shark,N
367,Surfing,M,19,Unprovoked,unknown,N
368,Surfing,M,49,Unprovoked,white shark,Y
369,Swimming,M,25,Unprovoked,unknown,N
370,Surfing,M,32,Unprovoked,Other,N
371,Swimming,M,30,Unprovoked,bull shark,Y
372,Other,M,7,Invalid,unknown,N
373,Surfing,M,29,Unprovoked,white shark,N
374,Scuba diving,M,22,Unprovoked,bull shark,N
375,Other,F,10,Unprovoked,bull shark,N
376,Spearfishing,M,35,Unprovoked,unknown,N
377,Scuba diving,M,28,Unprovoked,blacktip shark,N
378,Spearfishing,M,28,Unprovoked,Other,N
379,Wading,M,19,Unprovoked,unknown,N
380,Surfing,M,33,Unprovoked,white shark,N
381,Spearfishing,M,28,Unprovoked,Other,Y
382,boarding,M,15,Unprovoked,tiger shark,Y
383,Spearfishing,M,32,Unprovoked,bull shark,N
384,Other,M,17,Unprovoked,Other,N
385,Surfing,M,49,Unprovoked,unknown,N
386,Surfing,M,41,Unprovoked,bronze whaler,N
387,Surfing,M,48,Unprovoked,bull shark,N
388,boarding,F,24,Unprovoked,unknown,N
389,Fishing,M,36,Provoked,bull shark,N
390,Spearfishing,M,21,Unprovoked,unknown,N
391,Other,M,49,Unprovoked,white shark,Y
392,Swimming,F,38,Unprovoked,unknown,N
393,Scuba diving,M,55,Unprovoked,Other,N
394,boarding,M,16,Unprovoked,unknown,N
395,Snorkeling,F,70,Unprovoked,Other,Y
396,Snorkeling,M,54,Unprovoked,Other,N
397,Snorkeling,M,46,Unprovoked,Other,N
398,Snorkeling,F,70,Unprovoked,Other,N
399,Snorkeling,F,48,Unprovoked,Other,N
400,Snorkeling,F,20,Unprovoked,white shark,N
401,Scuba diving,M,30,Unprovoked,unknown,N
402,boarding,M,19,Unprovoked,white shark,Y
403,Surfing,M,22,Unprovoked,bull shark,N
404,Surfing,M,29,Unprovoked,white shark,N
405,Swimming,M,29,Unprovoked,white shark,Y
406,Surfing,M,15,Unprovoked,unknown,N
407,Swimming,M,27,Unprovoked,unknown,N
408,Surfing,M,31,Unprovoked,white shark,Y
409,Fishing,M,45,Boating,white shark,N
410,Surfing,M,35,Unprovoked,unknown,N
411,Standing,F,37,Unprovoked,unknown,N
412,Standing,M,16,Unprovoked,unknown,N
413,Swimming,M,10,Unprovoked,blacktip shark,N
414,Swimming,F,13,Unprovoked,tiger shark,N
415,Surfing,M,55,Unprovoked,Other,N
416,Swimming,M,9,Provoked,Other,N
417,Fishing,M,20,Provoked,Other,N
418,Surfing,M,19,Unprovoked,unknown,N
419,boarding,M,48,Unprovoked,unknown,N
420,Surfing,M,20,Unprovoked,bull shark,N
421,Swimming,M,17,Unprovoked,unknown,N
422,boarding,F,18,Unprovoked,unknown,N
423,Fishing,M,49,Provoked,Other,N
424,Other,F,58,Unprovoked,Other,N
