Activity,Sex,Age,Type,Species,Fatal
Surfing,M,19,Unprovoked,unknown,N
Surfing,M,49,Unprovoked,white shark,Y
Swimming,M,25,Unprovoked,unknown,N
Surfing,M,32,Unprovoked,Other,N
Swimming,M,30,Unprovoked,bull shark,Y
Other,M,7,Invalid,unknown,N
Surfing,M,29,Unprovoked,white shark,N
Scuba diving,M,22,Unprovoked,bull shark,N
Other,F,10,Unprovoked,bull shark,N
Spearfishing,M,35,Unprovoked,unknown,N
Scuba diving,M,28,Unprovoked,blacktip shark,N
Spearfishing,M,28,Unprovoked,Other,N
Wading,M,19,Unprovoked,unknown,N
Surfing,M,33,Unprovoked,white shark,N
Spearfishing,M,28,Unprovoked,Other,Y
boarding,M,15,Unprovoked,tiger shark,Y
Spearfishing,M,32,Unprovoked,bull shark,N
Other,M,17,Unprovoked,Other,N
Surfing,M,49,Unprovoked,unknown,N
Surfing,M,41,Unprovoked,bronze whaler,N
Surfing,M,48,Unprovoked,bull shark,N
boarding,F,24,Unprovoked,unknown,N
Fishing,M,36,Provoked,bull shark,N
Spearfishing,M,21,Unprovoked,unknown,N
Other,M,49,Unprovoked,white shark,Y
Swimming,F,38,Unprovoked,unknown,N
Scuba diving,M,55,Unprovoked,Other,N
boarding,M,16,Unprovoked,unknown,N
Snorkeling,F,70,Unprovoked,Other,Y
Snorkeling,M,54,Unprovoked,Other,N
Snorkeling,M,46,Unprovoked,Other,N
Snorkeling,F,70,Unprovoked,Other,N
Snorkeling,F,48,Unprovoked,Other,N
Snorkeling,F,20,Unprovoked,white shark,N
Scuba diving,M,30,Unprovoked,unknown,N
boarding,M,19,Unprovoked,white shark,Y
Surfing,M,22,Unprovoked,bull shark,N
Surfing,M,29,Unprovoked,white shark,N
Swimming,M,29,Unprovoked,white shark,Y
Surfing,M,15,Unprovoked,unknown,N
Swimming,M,27,Unprovoked,unknown,N
Surfing,M,31,Unprovoked,white shark,Y
Fishing,M,45,Boating,white shark,N
Surfing,M,35,Unprovoked,unknown,N
Standing,F,37,Unprovoked,unknown,N
Standing,M,16,Unprovoked,unknown,N
Swimming,M,10,Unprovoked,blacktip shark,N
Swimming,F,13,Unprovoked,tiger shark,N
Surfing,M,55,Unprovoked,Other,N
Swimming,M,9,Provoked,Other,N
Fishing,M,20,Provoked,Other,N
Surfing,M,19,Unprovoked,unknown,N
boarding,M,48,Unprovoked,unknown,N
Surfing,M,20,Unprovoked,bull shark,N
Swimming,M,17,Unprovoked,unknown,N
boarding,F,18,Unprovoked,unknown,N
Fishing,M,49,Provoked,Other,N
Other,F,58,Unprovoked,Other,N
Swimming,F,60,Unprovoked,Other,N
Wading,F,10,Unprovoked,unknown,N
Other,M,29,Provoked,Other,N
Surfing,M,68,Unprovoked,unknown,N
Surfing,M,35,Unprovoked,unknown,N
Swimming,M,24,Unprovoked,Other,N
Surfing,M,34,Unprovoked,unknown,N
Snorkeling,F,60,Unprovoked,unknown,N
Surfing,M,46,Unprovoked,wobbegong shark,N
boarding,M,18,Unprovoked,white shark,N
boarding,F,14,Provoked,unknown,N
Surfing,M,29,Unprovoked,unknown,N
Standing,M,37,Unprovoked,white shark,Y
Snorkeling,F,9,Unprovoked,Other,N
Swimming,M,27,Unprovoked,Other,N
Spearfishing,M,18,Unprovoked,bull shark,N
Swimming,M,24,Unprovoked,white shark,Y
Other,M,58,Provoked,tiger shark,N
Wading,M,10,Unprovoked,unknown,N
Fishing,M,31,Unprovoked,Other,N
Surfing,M,18,Unprovoked,unknown,N
Other,M,25,Unprovoked,unknown,N
Other,M,27,Boating,white shark,N
Surfing,M,54,Unprovoked,unknown,N
Other,M,23,Provoked,Other,N
Other,M,23,Unprovoked,bull shark,N
Fishing,M,39,Provoked,Other,N
Swimming,M,60,Invalid,unknown,Y
Surfing,M,25,Unprovoked,white shark,Y
Swimming,F,22,Unprovoked,white shark,N
Fishing,M,56,Unprovoked,bull shark,N
Spearfishing,M,14,Unprovoked,bull shark,N
Swimming,F,43,Provoked,nurse shark,N
Surfing,M,52,Unprovoked,unknown,N
Snorkeling,F,50,Unprovoked,Other,Y
Fishing,M,46,Provoked,Other,N
Surfing,M,31,Unprovoked,blacktip shark,N
Surfing,M,49,Unprovoked,blacktip shark,N
Surfing,M,55,Unprovoked,blacktip shark,N
Spearfishing,M,27,Provoked,blacktip shark,N
Spearfishing,M,48,Provoked,unknown,N
Surfing,M,31,Unprovoked,unknown,N
Other,M,40,Unprovoked,unknown,N
Fishing,M,59,Provoked,raggedoth shark,N
Surfing,M,17,Unprovoked,bronze whaler,N
Surfing,F,17,Unprovoked,unknown,N
Swimming,M,61,Unprovoked,unknown,N
Wading,M,21,Provoked,wobbegong shark,N
Fishing,M,40,Provoked,Other,N
Surfing,M,15,Unprovoked,unknown,N
Surfing,M,33,Unprovoked,white shark,N
Other,M,31,Unprovoked,bull shark,N
Surfing,M,41,Unprovoked,white shark,N
Spearfishing,M,15,Unprovoked,bull shark,N
Swimming,M,25,Unprovoked,tiger shark,Y
Snorkeling,M,24,Unprovoked,Other,N
Surfing,F,13,Unprovoked,white shark,N
Surfing,M,31,Unprovoked,white shark,N
Swimming,M,49,Unprovoked,Other,N
Other,M,29,Boating,white shark,N
Snorkeling,M,51,Unprovoked,white shark,Y
Fishing,M,15,Provoked,raggedoth shark,N
Scuba diving,M,34,Provoked,grey nurse,N
Spearfishing,M,24,Unprovoked,Other,N
Fishing,M,50,Provoked,Other,N
Spearfishing,M,43,Unprovoked,white shark,N
Surfing,M,40,Unprovoked,unknown,N
Swimming,M,43,Provoked,bronze whaler,N
Swimming,M,32,Unprovoked,Other,N
Surfing,M,40,Unprovoked,tiger shark,N
Surfing,M,51,Unprovoked,unknown,N
Surfing,M,52,Unprovoked,unknown,N
Fishing,M,52,Provoked,Other,N
Surfing,M,26,Unprovoked,unknown,N
Other,F,38,Unprovoked,bull shark,N
Surfing,M,31,Unprovoked,white shark,N
Swimming,M,33,Unprovoked,unknown,N
Wading,M,9,Unprovoked,unknown,N
Wading,F,8,Unprovoked,unknown,N
Wading,M,16,Unprovoked,unknown,N
Other,M,16,Boating,Other,N
Spearfishing,M,42,Unprovoked,bull shark,N
Other,M,46,Unprovoked,white shark,N
Swimming,M,37,Unprovoked,unknown,N
Other,F,40,Boating,white shark,N
